Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,,,2018-04-24 16:27:21,2018-04-24 16:27:23,1.791s,FAILED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,,Verify if users can login successful. \n\nSteps:\n- Click on 'Book Appointment' button to login\n- Input username and password\n- Click on 'Login' button\n\nExpected result:\n'Appointment' section is displayed after successful login,2018-04-24 16:27:22,2018-04-24 16:27:23,1.082s,FAILED
comment,,,2018-04-24 16:27:22,2018-04-24 16:27:22,0.063s,PASSED
comment,,,2018-04-24 16:27:22,2018-04-24 16:27:22,0.006s,PASSED
openBrowser,,,2018-04-24 16:27:22,2018-04-24 16:27:23,0.484s,FAILED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,,Verify if users can book an appointment sucessfully.\nPre-condition: Users have already logged in\n\nSteps:\n- Fill in appoinment's information\n- Click on appointment's button\n\nExpected results:\nAppointment Confirmation page is displayed,2018-04-24 16:27:23,2018-04-24 16:27:23,0.278s,FAILED
comment,,,2018-04-24 16:27:23,2018-04-24 16:27:23,0.002s,PASSED
comment,,,2018-04-24 16:27:23,2018-04-24 16:27:23,0.002s,PASSED
openBrowser,,,2018-04-24 16:27:23,2018-04-24 16:27:23,0.017s,FAILED
